peso_mayer,peso_fng,peso_funding,b1,b2,b3,sortino_is,calmar_is,sharpe_is,max_dd_is,retorno_anual_is,exposicao_media,exposicao_media_abs,n_rebalanceios,n_recaps,descartada,motivo_descarte
0.0,0.6,0.4,1.0,1.5,3.0,-0.6747122143681683,-0.20931017671348254,-0.4126071404677207,-0.6720962394046515,-0.14067658263825467,-0.03971157802037359,0.19521489395748892,476,0,True,exposicao<25%
0.0,0.6,0.4,1.0,2.0,2.5,-0.31262626771767427,-0.10018121022982349,-0.10592283421184077,-0.49202332775596525,-0.0492914924358977,-0.03342083056209727,0.1663291302821993,444,0,True,exposicao<25%
0.0,0.6,0.4,1.0,2.0,3.0,-0.3963084434545085,-0.11890005041448531,-0.18211103949067783,-0.5077812981997741,-0.06037522195548595,-0.031275438180431464,0.16186636327104034,437,0,True,exposicao<25%
0.0,0.6,0.4,1.0,2.5,3.0,-0.3953675963109021,-0.1266528246873233,-0.1974514106331517,-0.42189435192993163,-0.05343411139155352,-0.026654004549032193,0.14557109130688942,382,0,True,exposicao<25%
0.0,0.6,0.4,1.5,2.0,2.5,-0.5220173642726011,-0.14936990018239313,-0.27480930728201447,-0.49279516490075337,-0.07360876459159149,-0.030906454752456684,0.09588368778864434,277,0,True,exposicao<25%
0.0,0.6,0.4,1.5,2.0,3.0,-0.6250677098052824,-0.1648306885089243,-0.37910221659234,-0.5120296594198936,-0.08439820129917108,-0.028759742498101773,0.09142163565073802,270,0,True,exposicao<25%
0.0,0.6,0.4,1.5,2.5,3.0,-0.6905036360943093,-0.18624481733921985,-0.4580892473515631,-0.42703668264629835,-0.07953336895660623,-0.02288588894865031,0.07399644038207472,242,0,True,exposicao<25%
0.0,0.6,0.4,2.0,2.5,3.0,0.05462500311932961,0.02129719688868638,0.09597934677694281,-0.20604571837186902,0.004388196232236519,-0.0137878908048799,0.040401377554702744,148,0,True,exposicao<25%
0.0,0.8,0.2,0.5,1.0,1.5,-0.8157599800908433,-0.3236312082032843,-0.46277072778382927,-0.8652601788337916,-0.2800251970861698,-0.04449383520752752,0.45102343601746187,700,2,False,
0.0,0.8,0.2,0.5,1.0,2.0,-0.7862015177007807,-0.2959685711450933,-0.4526057377580064,-0.8334275733101603,-0.2466683680255306,-0.03857912193517511,0.4145697663443445,648,0,False,
0.0,0.8,0.2,0.5,1.0,2.5,-0.8105959529985926,-0.2824367844847505,-0.4651299530989667,-0.783929404078649,-0.22141050015102026,-0.030212666906515202,0.3998525086463379,612,0,False,
0.0,0.8,0.2,0.5,1.0,3.0,-0.8839822030579544,-0.2971452094624814,-0.5550973181415549,-0.7947128412873304,-0.23614511368684754,-0.029556578690264332,0.393078841022587,586,0,False,
0.0,0.8,0.2,0.5,1.5,2.0,-0.7942063515640578,-0.28647054126792526,-0.48415258052456134,-0.7922660260049028,-0.22696087729781267,-0.03308300980177832,0.3338762883945215,544,0,False,
0.0,0.8,0.2,0.5,1.5,2.5,-0.8192699197980302,-0.2699588701564893,-0.4922582912712511,-0.7276361273911738,-0.1964318268355646,-0.023180493197079002,0.3180798163251138,529,0,False,
0.0,0.8,0.2,0.5,1.5,3.0,-0.9170596252211299,-0.2854964873350714,-0.6137455449726548,-0.7459134733661803,-0.2129556765019468,-0.022045925118364392,0.30998272401505406,510,0,False,
0.0,0.8,0.2,0.5,2.0,2.5,-0.9210873627279582,-0.27974999909374265,-0.6141447353335872,-0.7463942064141567,-0.20880377856793508,-0.02835693601773072,0.2894722183653062,435,1,False,
0.0,0.8,0.2,0.5,2.0,3.0,-1.0334301502500713,-0.2967478852018827,-0.7671890808765681,-0.7611649455656314,-0.22587408788640728,-0.026999149401326715,0.28085832229593366,428,1,False,
0.0,0.8,0.2,0.5,2.5,3.0,-1.1328210482486956,-0.2927662072619646,-0.8276969848737208,-0.7098608493386946,-0.2078232685446465,-0.01912307497666755,0.26543942252794683,382,1,False,
0.0,0.8,0.2,1.0,1.5,2.0,-0.4026430997815531,-0.15765635176304818,-0.1299530560062588,-0.6870564270978168,-0.10831880975159647,-0.049201486293992326,0.23454841777526755,501,0,True,exposicao<25%
0.0,0.8,0.2,1.0,1.5,2.5,-0.33300668634692826,-0.1276141332636013,-0.08850711292931947,-0.5728887790818133,-0.07310870499896838,-0.039296520276931986,0.2187529582921996,486,0,True,exposicao<25%
0.0,0.8,0.2,1.0,1.5,3.0,-0.43624556813232573,-0.15514764016186788,-0.19048341158383778,-0.5940750113393534,-0.09216933608843558,-0.03816312584096216,0.21065719608656172,467,0,True,exposicao<25%
0.0,0.8,0.2,1.0,2.0,2.5,-0.22076520258811375,-0.08591357066662601,-0.023014035808437736,-0.49532380942696097,-0.04255503710406561,-0.03556670713848873,0.18451882010735163,420,0,True,exposicao<25%
0.0,0.8,0.2,1.0,2.0,3.0,-0.3451356303263841,-0.12095539166273102,-0.1421468359840489,-0.5225881764768916,-0.06320985756407482,-0.034208214730076826,0.17590810453200847,413,0,True,exposicao<25%
0.0,0.8,0.2,1.0,2.5,3.0,-0.3019456339493716,-0.10815227795767611,-0.11403357179676049,-0.38982430531148904,-0.04216038662270616,-0.024603031630320675,0.16009756517429727,372,0,True,exposicao<25%
